complex_id	uniprot_a	uniprot_b	combined_score
P63010	P63010	P84092	1
P63011	P63011	P63011	1
P63011	P63011	Q9EQZ6	1
P63011	P63011	Q9EQZ7	1
P63012	P63012	P50398	1
P63012	P63012	P63012	1
P63012	P63012	Q62768	1
P63012	P63012	Q9JIS1	1
P63017	P63017	O88935	1
P63017	P63017	P14602	1
P63017	P63017	P28660	1
P63017	P63017	P39053	1
P63017	P63017	P60710	1
P63017	P63017	P62962	1
P63017	P63017	P63017	1
P63017	P63017	P63260	1
P63017	P63017	P70336	1
P63017	P63017	Q01853	1
P63017	P63017	Q61699	1
P63017	P63017	Q64332	1
P63017	P63017	Q68FD5	1
P63017	P63017	Q7TMB8	1
P63017	P63017	Q9CWF2	1
P63017	P63017	Q9JJV2	1
P63018	P63018	P50398	1
P63018	P63018	P60905	1
P63018	P63018	P63018	1
P63018	P63018	P82995	1
P63024	P63024	O70404	1
P63024	P63024	O70439	1
P63024	P63024	O88384	1
P63024	P63024	P63024	1
P63024	P63024	P70280	1
P63024	P63024	P70452	1
P63024	P63024	Q9JKK1	1
P63025	P63025	O70319	1
P63025	P63025	P54921	1
P63025	P63025	P60881	1
P63025	P63025	P63025	1
P63025	P63025	P63045	1
P63025	P63025	Q08850	1
P63025	P63025	Q9QUL6	1
P63026	P63026	P11023	1
P63026	P63026	P32850	1
P63026	P63026	P48018	1
P63026	P63026	P61267	1
P63026	P63026	P63026	1
P63026	P63026	P84088	1
P63026	P63026	Q9TRF1	1
